"pacSelector","kind","owner","principalId","lastChange","category","displayName","id"
"canary","Assignment(PolicySet-Builtin)","unknownOwner","94cde4bf-44a8-4da5-b293-92bcebf90eb9","2024-08-23T10:58:07","","ASC Default (subscription: bdcca325-332c-4f2a-8b9b-e7aa058e9d50)","/subscriptions/bdcca325-332c-4f2a-8b9b-e7aa058e9d50/providers/Microsoft.Authorization/policyAssignments/SecurityCenterBuiltIn"
"prod","Assignment(PolicySet-Builtin)","unknownOwner","94cde4bf-44a8-4da5-b293-92bcebf90eb9","2024-08-23T10:53:05","","ASC Default (subscription: 55db6928-5c3e-45b0-abbf-2031f3c19250)","/subscriptions/55db6928-5c3e-45b0-abbf-2031f3c19250/providers/Microsoft.Authorization/policyAssignments/SecurityCenterBuiltIn"
"prod","Assignment(PolicySet-Builtin)","unknownOwner","94cde4bf-44a8-4da5-b293-92bcebf90eb9","2024-08-23T10:55:12","","ASC Default (subscription: 5f97c070-e06c-4244-a16d-2617ca320a45)","/subscriptions/5f97c070-e06c-4244-a16d-2617ca320a45/providers/Microsoft.Authorization/policyAssignments/SecurityCenterBuiltIn"
"prod","Assignment(PolicySet-Builtin)","unknownOwner","94cde4bf-44a8-4da5-b293-92bcebf90eb9","2024-08-23T10:52:16","","ASC Default (subscription: 23a44dc8-3218-4e08-a9f8-b6451fd1095b)","/subscriptions/23a44dc8-3218-4e08-a9f8-b6451fd1095b/providers/Microsoft.Authorization/policyAssignments/SecurityCenterBuiltIn"
"prod","Assignment(PolicySet-Builtin)","unknownOwner","94cde4bf-44a8-4da5-b293-92bcebf90eb9","2024-08-23T10:52:56","","ASC Default (subscription: 7a06440f-dea7-4668-8d49-5b7c4ebcf187)","/subscriptions/7a06440f-dea7-4668-8d49-5b7c4ebcf187/providers/Microsoft.Authorization/policyAssignments/SecurityCenterBuiltIn"
"prod","Assignment(PolicySet-Builtin)","unknownOwner","94cde4bf-44a8-4da5-b293-92bcebf90eb9","2024-08-23T10:54:53","","ASC Default (subscription: 47269eb7-746b-4457-ba4a-11ec872dc8ae)","/subscriptions/47269eb7-746b-4457-ba4a-11ec872dc8ae/providers/Microsoft.Authorization/policyAssignments/SecurityCenterBuiltIn"
"prod","Assignment(PolicySet-Builtin)","unknownOwner","94cde4bf-44a8-4da5-b293-92bcebf90eb9","2024-08-23T10:53:15","","ASC Default (subscription: ab86a828-877d-4271-869a-d7f79b678aa4)","/subscriptions/ab86a828-877d-4271-869a-d7f79b678aa4/providers/Microsoft.Authorization/policyAssignments/SecurityCenterBuiltIn"
"prod","Assignment(PolicySet-Builtin)","unknownOwner","94cde4bf-44a8-4da5-b293-92bcebf90eb9","2024-08-23T10:53:00","","ASC Default (subscription: 1f368e1f-4b2d-4f15-b99e-aa538f4fec27)","/subscriptions/1f368e1f-4b2d-4f15-b99e-aa538f4fec27/providers/Microsoft.Authorization/policyAssignments/SecurityCenterBuiltIn"
"prod","Assignment(PolicySet-Builtin)","unknownOwner","94cde4bf-44a8-4da5-b293-92bcebf90eb9","2024-08-23T10:54:32","","ASC Default (subscription: 0b77e2f6-4f3b-4c61-9653-f87a0bda7d4a)","/subscriptions/0b77e2f6-4f3b-4c61-9653-f87a0bda7d4a/providers/Microsoft.Authorization/policyAssignments/SecurityCenterBuiltIn"
"prod","Assignment(PolicySet-Builtin)","unknownOwner","94cde4bf-44a8-4da5-b293-92bcebf90eb9","2024-08-23T10:52:16","","ASC Default (subscription: e7308aa5-d0a2-4818-9a3a-fdd142e1be88)","/subscriptions/e7308aa5-d0a2-4818-9a3a-fdd142e1be88/providers/Microsoft.Authorization/policyAssignments/SecurityCenterBuiltIn"
